Exercise,Muscle Groups,Engagement Percentages,Equipment
med-ball-trunk-rotation,"['front_abs', 'front_obliques']","['40.0%', '100.0%']",['Medball']
single-kettlebell-external-rotation,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Kettlebell']
kettlebell-standing-snow-angel,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Kettlebell']
med-ball-chair-leg-raise,"['front_abs', 'front_hip_flexors']","['100.0%', '100.0%']",['Medball']
ladder-four-step-shuffle,"['back_calves', 'back_glutes', 'front_hip_flexors', 'front_quads']","['100.0%', '40.0%', '40.0%', '40.0%']",['Ladder']
bosu-sit-up,['front_abs'],['100.0%'],['Bosu']
dumbbell-floor-press,"['back_hamstrings', 'front_chest', 'front_shoulders']","['40.0%', '100.0%', '40.0%']",['Dumbbell']
hammer-lat-pulldown,"['back_lats', 'front_biceps']","['100.0%', '40.0%']","['Machine', 'Hammer']"
kettlebell-sumo-deadlift,"['back_glutes', 'back_lower_back', 'back_hamstrings', 'front_quads']","['100.0%', '40.0%', '100.0%', '100.0%']",['Kettlebell']
med-ball-burpee,"['back_calves', 'back_glutes', 'back_hamstrings', 'front_abs', 'front_chest', 'front_quads', 'front_shoulders']","['40.0%', '100.0%', '40.0%', '40.0%', '100.0%', '100.0%', '40.0%']",['Medball']
dumbbell-halo,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Dumbbell']
dumbbell-wrist-curl-flexion,"['back_forearms', 'front_forearms']","['100.0%', '100.0%']",['Dumbbell']
bike,"['back_calves', 'back_glutes', 'back_hamstrings', 'front_quads']","['40.0%', '40.0%', '100.0%', '100.0%']",['Bodyweight']
side-plank-knee-to-elbow,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '40.0%']",['Bodyweight']
dumbbell-forward-lunge,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '100.0%', '100.0%']",['Dumbbell']
bodyweight-half-push-up,"['back_hamstrings', 'front_chest']","['40.0%', '100.0%']",['Bodyweight']
plank-twist,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '40.0%']",['Bodyweight']
slider-mountain-climber,"['back_lower_back', 'back_hamstrings', 'front_abs', 'front_hip_flexors', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '40.0%', '100.0%']",['Bodyweight']
box-jump,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '40.0%', '100.0%']",['Box']
machine-wide-row,"['back_lats', 'front_biceps']","['100.0%', '40.0%']",['Machine']
dumbbell-step-up,"['back_glutes', 'front_quads']","['100.0%', '100.0%']","['Box', 'Dumbbell']"
half-kneeling-band-lumberjack,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '40.0%']",['Bands']
dumbbell-squat,"['back_glutes', 'back_hamstrings', 'front_quads']","['40.0%', '40.0%', '100.0%']",['Dumbbell']
seated-dumbbell-curl,['front_biceps'],['100.0%'],['Dumbbell']
dumbbell-push-up-with-drag,"['back_hamstrings', 'front_abs', 'front_chest', 'front_obliques', 'front_shoulders']","['100.0%', '40.0%', '100.0%', '40.0%', '100.0%']",['Bodyweight']
dumbbell-farmers-carry,"['back_forearms', 'front_abs', 'front_forearms']","['40.0%', '100.0%', '40.0%']",['Dumbbell']
kettlebell-deadlift-to-press,"['back_glutes', 'back_lower_back', 'back_hamstrings', 'front_biceps', 'front_quads', 'front_shoulders']","['100.0%', '100.0%', '100.0%', '100.0%', '40.0%', '100.0%']",['Kettlebell']
med-ball-one-arm-elevated-push-up,"['back_hamstrings', 'front_chest']","['40.0%', '100.0%']",['Medball']
hip-adduction-machine,"['back_hip_adductors', 'front_hip_adductors']","['100.0%', '100.0%']",['Machine']
band-high-row,"['back_lats', 'back_hamstrings', 'front_shoulders', 'front_traps']","['40.0%', '100.0%', '100.0%', '40.0%']",['Bands']
kettlebell-floor-t,"['back_hamstrings', 'front_shoulders', 'front_traps']","['100.0%', '100.0%', '100.0%']",['Kettlebell']
cable-low-row-high-row,"['back_lats', 'back_hamstrings', 'front_biceps', 'front_shoulders', 'front_traps']","['100.0%', '40.0%', '40.0%', '40.0%', '40.0%']",['Cables']
single-kettlebell-overhead-row,['back_lats'],['100.0%'],['Kettlebell']
wide-push-up,"['back_hamstrings', 'front_chest', 'front_shoulders']","['40.0%', '100.0%', '40.0%']",['Bodyweight']
med-ball-push-up-with-drag,"['back_hamstrings', 'front_abs', 'front_chest', 'front_obliques', 'front_shoulders']","['100.0%', '40.0%', '100.0%', '40.0%', '100.0%']",['Medball']
plie-squat-to-calf-raise,"['back_calves', 'back_glutes', 'front_quads']","['40.0%', '40.0%', '100.0%']",['Bodyweight']
dumbbell-floor-iyt,"['back_hamstrings', 'front_shoulders', 'front_traps']","['100.0%', '100.0%', '100.0%']",['Dumbbell']
toe-touch-crunch,['front_abs'],['100.0%'],['Bodyweight']
seated-ez-bar-curl,['front_biceps'],['100.0%'],['EZ Curl Bar']
barbell-step-up,"['back_glutes', 'front_quads']","['100.0%', '100.0%']","['Barbell', 'Box']"
yoga-ball-crunch,['front_abs'],['100.0%'],['Yoga Ball']
dumbbell-kneeling-fire-hydrant,"['back_glutes', 'back_hip_abductors', 'front_hip_abductors', 'front_hip_flexors']","['40.0%', '100.0%', '100.0%', '40.0%']",['Dumbbell']
yoga-ball-dumbbell-bench-press,"['back_hamstrings', 'front_chest', 'front_shoulders']","['40.0%', '100.0%', '40.0%']","['Bench', 'Dumbbell', 'Yoga Ball']"
dumbbell-yoga-ball-upper-body-windshield-wiper,"['back_hamstrings', 'front_obliques', 'front_shoulders']","['40.0%', '100.0%', '40.0%']","['Dumbbell', 'Yoga Ball']"
yoga-ball-plank-shoulder-tap,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '40.0%']",['Yoga Ball']
wall-walk,"['back_hamstrings', 'front_abs', 'front_shoulders']","['100.0%', '40.0%', '100.0%']",['Bodyweight']
cable-pallof-circle,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '40.0%']",['Cables']
rowing,"['back_glutes', 'back_lats', 'back_lower_back', 'back_hamstrings', 'front_biceps', 'front_quads']","['40.0%', '100.0%', '40.0%', '100.0%', '40.0%', '40.0%']",['Bodyweight']
bodyweight-split-squat,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '40.0%', '100.0%']",['Bodyweight']
band-assisted-hammer-pull-up,"['back_lats', 'front_biceps']","['100.0%', '40.0%']","['Bands', 'Pull-Up Bar', 'Hammer']"
dumbbell-staggered-stance-row,"['back_lats', 'front_biceps']","['100.0%', '40.0%']",['Dumbbell']
bodyweight-lying-snow-angel,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Bodyweight']
dumbbell-wall-sit-with-curl,"['back_glutes', 'front_biceps', 'front_quads']","['40.0%', '100.0%', '100.0%']",['Dumbbell']
yoga-ball-dumbbell-sit-up,['front_abs'],['100.0%'],"['Dumbbell', 'Yoga Ball']"
bosu-crunch,['front_abs'],['100.0%'],['Bosu']
inchworm-to-push-up,"['back_hamstrings', 'front_abs', 'front_chest', 'front_shoulders']","['100.0%', '100.0%', '100.0%', '100.0%']",['Bodyweight']
bodyweight-reverse-half-lunge,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '100.0%', '100.0%']",['Bodyweight']
trx-reverse-curl,"['back_forearms', 'front_biceps', 'front_forearms']","['40.0%', '100.0%', '40.0%']",['trx']
yoga-ball-single-kettlebell-sit-up,['front_abs'],['100.0%'],"['Kettlebell', 'Yoga Ball']"
med-ball-forward-lunge-hold,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '100.0%', '100.0%']",['Medball']
smackdown-stretch,"['back_lower_back', 'back_hamstrings']","['40.0%', '100.0%']",['Bodyweight']
dumbbell-standing-fire-hydrant,"['back_hip_abductors', 'front_hip_abductors']","['100.0%', '100.0%']",['Dumbbell']
trx-skull-crusher,['back_hamstrings'],['100.0%'],['trx']
kettlebell-half-curl,['front_biceps'],['100.0%'],['Kettlebell']
hanging-leg-raise,"['front_abs', 'front_hip_flexors', 'front_obliques']","['100.0%', '100.0%', '40.0%']",['Pull-Up Bar']
kettlebell-overhead-lunge,"['back_glutes', 'back_hamstrings', 'front_quads', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '100.0%']",['Kettlebell']
band-pallof-circle,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '40.0%']",['Bands']
lying-alternating-arm-leg-reach,"['back_hamstrings', 'front_abs', 'front_hip_flexors', 'front_shoulders']","['100.0%', '40.0%', '100.0%', '100.0%']",['Bodyweight']
cable-reverse-fly,"['back_hamstrings', 'front_shoulders', 'front_traps']","['100.0%', '100.0%', '100.0%']",['Cables']
kettlebell-floor-i,"['back_hamstrings', 'front_shoulders', 'front_traps']","['100.0%', '100.0%', '100.0%']",['Kettlebell']
barbell-split-squat,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '40.0%', '100.0%']",['Barbell']
seated-med-ball-figure-8,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Medball']
kettlebell-walking-lunge,"['back_glutes', 'front_quads']","['100.0%', '100.0%']",['Kettlebell']
cable-chest-fly-low-to-high,"['back_hamstrings', 'front_chest', 'front_shoulders']","['40.0%', '100.0%', '40.0%']",['Cables']
dumbbell-lying-curl,['front_biceps'],['100.0%'],['Dumbbell']
cable-kneeling-fire-hydrant,"['back_glutes', 'back_hip_abductors', 'front_hip_abductors', 'front_hip_flexors']","['40.0%', '100.0%', '100.0%', '40.0%']",['Cables']
kettlebell-reverse-lunge,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '40.0%', '100.0%']",['Kettlebell']
handstand-push-up,"['back_hamstrings', 'front_shoulders', 'front_traps']","['100.0%', '100.0%', '40.0%']",['Bodyweight']
kettlebell-front-raise,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Kettlebell']
half-kneeling-cable-trunk-rotation,"['front_abs', 'front_obliques']","['40.0%', '100.0%']",['Cables']
dumbbell-single-leg-bridge-bench-press,"['back_glutes', 'back_hamstrings', 'front_abs', 'front_chest', 'front_quads']","['100.0%', '40.0%', '40.0%', '100.0%', '40.0%']","['Bench', 'Dumbbell']"
floor-iyt,"['back_hamstrings', 'front_shoulders', 'front_traps']","['100.0%', '100.0%', '100.0%']",['Bodyweight']
split-stretch,"['back_hamstrings', 'front_hip_flexors']","['100.0%', '100.0%']",['Bodyweight']
alternating-hammer-lat-pulldown,"['back_lats', 'front_biceps']","['100.0%', '40.0%']","['Machine', 'Hammer']"
band-overhead-stretch,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Bodyweight']
alternating-band-curl,['front_biceps'],['100.0%'],['Bands']
kettlebell-front-rack-split-squat,"['back_glutes', 'back_hamstrings', 'front_hip_flexors', 'front_quads']","['100.0%', '100.0%', '40.0%', '100.0%']",['Kettlebell']
upper-back-roller,"['back_hamstrings', 'front_traps']","['100.0%', '100.0%']",['Roller']
dumbbell-hammer-curl-to-press,"['back_hamstrings', 'front_biceps', 'front_shoulders']","['100.0%', '100.0%', '100.0%']","['Dumbbell', 'Hammer']"
dumbbell-thruster,"['back_glutes', 'back_hamstrings', 'front_quads', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '100.0%']",['Dumbbell']
alternating-cable-bench-press,"['back_hamstrings', 'front_chest', 'front_shoulders']","['40.0%', '100.0%', '40.0%']","['Bench', 'Cables']"
kettlebell-push-press,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Kettlebell']
dumbbell-push-press,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Dumbbell']
ladder-single-leg-shuffle,"['back_calves', 'back_hip_abductors', 'back_hip_adductors', 'front_hip_abductors', 'front_hip_adductors', 'front_quads']","['100.0%', '40.0%', '40.0%', '40.0%', '40.0%', '40.0%']",['Ladder']
dumbbell-wide-bent-over-row,"['back_lats', 'front_biceps']","['100.0%', '40.0%']",['Dumbbell']
unilateral-single-kettlebell-hammer-curl-to-press,"['back_hamstrings', 'front_biceps', 'front_shoulders']","['100.0%', '100.0%', '100.0%']","['Kettlebell', 'Hammer']"
med-ball-wall-sit-with-curl,"['back_glutes', 'front_biceps', 'front_quads']","['40.0%', '100.0%', '100.0%']",['Medball']
standing-hamstring-stretch,['back_hamstrings'],['100.0%'],['Bodyweight']
prayer-stretch,['back_lats'],['100.0%'],['Bodyweight']
trx-knee-drive,['front_hip_flexors'],['100.0%'],['trx']
bosu-high-side-plank,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['100.0%', '40.0%', '100.0%', '100.0%']",['Bosu']
kettlebell-jump-lunge,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '40.0%', '100.0%']",['Kettlebell']
pause-bear-crawl,"['back_hamstrings', 'front_abs', 'front_shoulders']","['100.0%', '40.0%', '100.0%']",['Bodyweight']
dumbbell-bench-one-arm-row,"['back_lats', 'front_biceps']","['100.0%', '40.0%']","['Bench', 'Dumbbell']"
wall-reach,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Bodyweight']
glute-march,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '100.0%', '40.0%']",['Bodyweight']
band-pistol-squat,"['back_glutes', 'front_quads']","['100.0%', '100.0%']",['Bands']
tricep-to-push-up,"['back_hamstrings', 'front_chest']","['100.0%', '40.0%']",['Bodyweight']
seated-kettlebell-hammer-curl,['front_biceps'],['100.0%'],"['Kettlebell', 'Hammer']"
yoga-ball-dumbbell-lateral-raise,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']","['Dumbbell', 'Yoga Ball']"
dumbbell-chest-fly,"['back_hamstrings', 'front_chest', 'front_shoulders']","['40.0%', '100.0%', '40.0%']","['Bench', 'Dumbbell']"
dumbbell-clean-and-jerk,"['back_glutes', 'back_lower_back', 'back_hamstrings', 'front_quads', 'front_shoulders', 'front_traps']","['100.0%', '40.0%', '100.0%', '100.0%', '100.0%', '100.0%']",['Dumbbell']
single-kettlebell-lying-alt-leg-raise,"['front_abs', 'front_hip_flexors']","['100.0%', '100.0%']",['Kettlebell']
med-ball-leg-raise,"['front_abs', 'front_hip_flexors', 'front_obliques']","['100.0%', '100.0%', '40.0%']",['Medball']
dumbbell-decline-sit-up,['front_abs'],['100.0%'],"['Bench', 'Dumbbell']"
side-plank-abduction,"['back_glutes', 'back_hip_abductors', 'back_hamstrings', 'front_abs', 'front_hip_abductors', 'front_obliques', 'front_shoulders']","['40.0%', '100.0%', '40.0%', '40.0%', '100.0%', '100.0%', '40.0%']",['Bodyweight']
single-leg-hamstring-stretch,['back_hamstrings'],['100.0%'],['Bodyweight']
very-incline-neutral-push-up,"['back_hamstrings', 'front_chest']","['40.0%', '100.0%']",['Bodyweight']
ladder-inside-outside,"['back_calves', 'back_hip_abductors', 'front_hip_abductors']","['100.0%', '40.0%', '40.0%']",['Ladder']
cable-staggered-stance-row,"['back_lats', 'front_biceps']","['100.0%', '40.0%']",['Cables']
barbell-shrug,"['back_hamstrings', 'front_traps']","['100.0%', '100.0%']",['Barbell']
kettlebell-wrist-curl-flexion,"['back_forearms', 'front_forearms']","['100.0%', '100.0%']",['Kettlebell']
band-face-pull,"['back_hamstrings', 'front_shoulders', 'front_traps']","['100.0%', '100.0%', '100.0%']",['Bands']
scapular-pull-up,"['back_hamstrings', 'front_biceps', 'front_traps']","['100.0%', '40.0%', '100.0%']",['Pull-Up Bar']
yoga-ball-kettlebell-lateral-raise,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']","['Kettlebell', 'Yoga Ball']"
split-stance-cable-decline-press,"['back_hamstrings', 'front_chest']","['40.0%', '100.0%']",['Cables']
kettlebell-single-arm-swing,"['back_glutes', 'back_lower_back', 'back_hamstrings', 'front_shoulders']","['100.0%', '100.0%', '100.0%', '40.0%']",['Kettlebell']
band-lat-pulldown,"['back_lats', 'front_biceps']","['100.0%', '40.0%']",['Bands']
dumbbell-archer-row,"['back_lats', 'back_hamstrings', 'front_biceps', 'front_shoulders']","['100.0%', '40.0%', '40.0%', '40.0%']",['Dumbbell']
hamstring-stretch,['back_hamstrings'],['100.0%'],['Bodyweight']
sprint,"['back_calves', 'back_glutes', 'back_hamstrings', 'front_quads']","['40.0%', '100.0%', '100.0%', '100.0%']",['Bodyweight']
dumbbell-leg-raise,"['front_abs', 'front_hip_flexors', 'front_obliques']","['100.0%', '100.0%', '40.0%']",['Dumbbell']
dumbbell-arnold-press,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Dumbbell']
single-leg-barbell-hip-thrust,"['back_glutes', 'back_lower_back', 'back_hamstrings', 'front_quads']","['100.0%', '40.0%', '40.0%', '40.0%']","['Barbell', 'Bench']"
bosu-spiderman,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['100.0%', '100.0%', '40.0%', '100.0%']",['Bosu']
dumbbell-lying-leg-raise,"['front_abs', 'front_hip_flexors']","['100.0%', '40.0%']",['Dumbbell']
yoga-ball-upper-body-windshield-wiper,"['back_hamstrings', 'front_obliques', 'front_shoulders']","['40.0%', '100.0%', '40.0%']",['Yoga Ball']
west-side-dumbbell-box-squat,"['back_glutes', 'front_quads']","['100.0%', '100.0%']",['Dumbbell']
single-kettlebell-standing-figure-8,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Kettlebell']
med-ball-split-squat,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '40.0%', '100.0%']",['Medball']
dip,"['back_hamstrings', 'front_chest', 'front_shoulders']","['100.0%', '40.0%', '40.0%']",['Dip Bar']
pigeon-stretch,['back_glutes'],['100.0%'],['Bodyweight']
dumbbell-lying-alternating-arm-leg-reach,"['back_hamstrings', 'front_abs', 'front_hip_flexors', 'front_shoulders']","['100.0%', '40.0%', '100.0%', '100.0%']",['Dumbbell']
weighted-wall-sit,"['back_glutes', 'front_quads']","['40.0%', '100.0%']",['Bodyweight']
standing-balance-lateral-toe-tap,"['back_glutes', 'front_quads']","['40.0%', '100.0%']",['Bodyweight']
cable-straight-arm-pulldown,"['back_lats', 'back_hamstrings', 'front_shoulders']","['100.0%', '40.0%', '40.0%']",['Cables']
med-ball-floor-tricep-cycle,"['back_hamstrings', 'front_chest', 'front_shoulders']","['100.0%', '40.0%', '40.0%']",['Medball']
cable-leg-extension,['front_quads'],['100.0%'],['Cables']
band-leg-extension,['front_quads'],['100.0%'],['Bands']
med-ball-russian-twist,"['front_abs', 'front_obliques']","['100.0%', '100.0%']",['Medball']
dumbbell-lunge-to-lateral-raise,"['back_glutes', 'back_hamstrings', 'front_quads', 'front_shoulders']","['100.0%', '100.0%', '100.0%', '100.0%']",['Dumbbell']
floor-leg-adduction,"['back_glutes', 'back_hip_adductors', 'front_hip_adductors']","['100.0%', '100.0%', '100.0%']",['Bodyweight']
ez-bar-preacher-curl,['front_biceps'],['100.0%'],['EZ Curl Bar']
single-leg-broad-jump,"['back_calves', 'back_glutes', 'back_hamstrings', 'front_quads']","['40.0%', '100.0%', '100.0%', '100.0%']",['Bodyweight']
cable-band-knee-drive,['front_hip_flexors'],['100.0%'],"['Bands', 'Cables']"
half-kneeling-kettlebell-hammer-curl-to-press,"['back_hamstrings', 'front_biceps', 'front_shoulders']","['100.0%', '100.0%', '100.0%']","['Kettlebell', 'Hammer']"
yoga-ball-kettlebell-hip-thrust,"['back_glutes', 'back_lower_back', 'back_hamstrings', 'front_quads']","['100.0%', '40.0%', '40.0%', '40.0%']","['Bench', 'Kettlebell', 'Yoga Ball']"
kettlebell-power-step-up,"['back_glutes', 'front_quads']","['40.0%', '100.0%']","['Box', 'Kettlebell']"
med-ball-halo,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Medball']
dumbbell-pistol-squat,"['back_glutes', 'front_quads']","['100.0%', '100.0%']",['Dumbbell']
battle-ropes-snake,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['100.0%', '100.0%', '40.0%', '100.0%']",['Battle Ropes']
seated-dumbbell-hammer-curl,['front_biceps'],['100.0%'],"['Dumbbell', 'Hammer']"
band-good-morning,"['back_glutes', 'back_lower_back', 'back_hamstrings']","['100.0%', '100.0%', '100.0%']",['Bands']
bosu-plank,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['40.0%', '100.0%', '40.0%', '40.0%']",['Bosu']
med-ball-jump-squat,"['back_calves', 'back_glutes', 'back_hamstrings', 'front_quads']","['40.0%', '100.0%', '40.0%', '100.0%']",['Medball']
kettlebell-overhead-walk,"['back_hamstrings', 'front_abs', 'front_shoulders']","['100.0%', '40.0%', '100.0%']",['Kettlebell']
med-ball-overhead-row-to-crunch,"['back_lats', 'back_hamstrings', 'front_abs', 'front_shoulders']","['100.0%', '40.0%', '100.0%', '40.0%']",['Medball']
standing-balance-toe-tap,"['back_glutes', 'front_quads']","['40.0%', '100.0%']",['Bodyweight']
seated-machine-overhead-press,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Machine']
cable-trunk-rotation,"['front_abs', 'front_obliques']","['40.0%', '100.0%']",['Cables']
barbell-squat,"['back_glutes', 'back_hamstrings', 'front_quads']","['40.0%', '40.0%', '100.0%']",['Barbell']
single-leg-dumbbell-deadlift,"['back_glutes', 'back_lower_back', 'back_hamstrings', 'front_quads']","['100.0%', '100.0%', '100.0%', '40.0%']",['Dumbbell']
wide-lat-pulldown,"['back_lats', 'front_biceps']","['100.0%', '40.0%']",['Machine']
single-arm-side-push-up,"['back_hamstrings', 'front_abs', 'front_chest', 'front_obliques', 'front_shoulders']","['100.0%', '40.0%', '100.0%', '40.0%', '40.0%']",['Bodyweight']
med-ball-lying-alt-leg-raise,"['front_abs', 'front_hip_flexors']","['100.0%', '100.0%']",['Medball']
half-kneeling-cable-pallof-circle,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '40.0%']",['Cables']
half-kneeling-dumbbell-lumberjack,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '40.0%']",['Dumbbell']
ball-knee-strike,"['front_abs', 'front_obliques']","['100.0%', '40.0%']",['Bodyweight']
dumbbell-lying-reverse-fly,"['back_hamstrings', 'front_shoulders', 'front_traps']","['100.0%', '100.0%', '100.0%']",['Dumbbell']
run,"['back_calves', 'back_glutes', 'back_hamstrings', 'front_hip_flexors', 'front_quads']","['40.0%', '100.0%', '100.0%', '40.0%', '100.0%']",['Bodyweight']
star-jump,"['back_glutes', 'back_hamstrings', 'front_quads', 'front_shoulders']","['40.0%', '40.0%', '100.0%', '40.0%']",['Bodyweight']
seated-cable-lumberjack,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '40.0%']",['Cables']
kettlebell-step-up-to-reverse-lunge,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '100.0%', '100.0%']","['Box', 'Kettlebell']"
dumbbell-front-rack-lunge,"['back_glutes', 'back_hamstrings', 'front_hip_flexors', 'front_quads']","['100.0%', '100.0%', '40.0%', '100.0%']",['Dumbbell']
bodyweight-double-windmill,"['back_lower_back', 'back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['100.0%', '40.0%', '40.0%', '100.0%', '40.0%']",['Bodyweight']
dumbbell-bent-over-row,"['back_lats', 'back_hamstrings', 'front_biceps', 'front_traps']","['100.0%', '40.0%', '40.0%', '40.0%']",['Dumbbell']
crunch,['front_abs'],['100.0%'],['Bodyweight']
single-arm-half-kneeling-cable-row,"['back_lats', 'front_biceps']","['100.0%', '40.0%']",['Cables']
sprinter-lunge,"['back_glutes', 'back_hamstrings', 'front_quads']","['40.0%', '100.0%', '100.0%']",['Bodyweight']
yoga-ball-kettlebell-bench-press,"['back_hamstrings', 'front_chest', 'front_shoulders']","['40.0%', '100.0%', '40.0%']","['Bench', 'Kettlebell', 'Yoga Ball']"
seated-straddle-stretch,"['back_hip_adductors', 'back_lower_back', 'back_hamstrings', 'front_hip_adductors']","['100.0%', '40.0%', '100.0%', '100.0%']",['Bodyweight']
med-ball-side-med-ball-slam,"['front_abs', 'front_obliques']","['100.0%', '100.0%']",['Medball']
band-chest-fly-low-to-high,"['back_hamstrings', 'front_chest', 'front_shoulders']","['40.0%', '100.0%', '40.0%']",['Bands']
dumbbell-face-pull,"['back_hamstrings', 'front_shoulders', 'front_traps']","['100.0%', '100.0%', '100.0%']",['Dumbbell']
dumbbell-floor-y,"['back_hamstrings', 'front_shoulders', 'front_traps']","['100.0%', '100.0%', '100.0%']",['Dumbbell']
machine-chest-fly,"['back_hamstrings', 'front_chest', 'front_shoulders']","['40.0%', '100.0%', '40.0%']",['Machine']
slider-body-saw,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '40.0%']",['Bodyweight']
sit-up,['front_abs'],['100.0%'],['Bodyweight']
med-ball-plank-weight-drag-through,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '40.0%']",['Medball']
squat-shuffle,"['back_glutes', 'back_hamstrings', 'front_quads']","['40.0%', '40.0%', '100.0%']",['Bodyweight']
barbell-skull-crusher,['back_hamstrings'],['100.0%'],"['Barbell', 'Bench']"
recumbent-machine-bike,"['back_glutes', 'front_hip_flexors', 'front_quads']","['40.0%', '40.0%', '100.0%']",['Machine']
hip-flexor-stretch,"['front_hip_flexors', 'front_quads']","['100.0%', '40.0%']",['Bodyweight']
dumbbell-reverse-curl,"['back_forearms', 'front_biceps', 'front_forearms']","['40.0%', '100.0%', '40.0%']",['Dumbbell']
alternating-kettlebell-hammer-curl-to-press,"['back_hamstrings', 'front_biceps', 'front_shoulders']","['100.0%', '100.0%', '100.0%']","['Kettlebell', 'Hammer']"
staggered-stance-med-ball-romanian-deadlift,"['back_glutes', 'back_lower_back', 'back_hamstrings']","['40.0%', '100.0%', '100.0%']",['Medball']
battle-ropes-alt,"['back_hamstrings', 'front_abs', 'front_biceps', 'front_obliques', 'front_shoulders', 'front_traps']","['100.0%', '40.0%', '100.0%', '40.0%', '100.0%', '40.0%']",['Battle Ropes']
single-arm-single-kettlebell-overhead-press,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Kettlebell']
lateral-lunge,"['back_glutes', 'back_hip_abductors', 'front_hip_abductors', 'front_quads']","['100.0%', '40.0%', '40.0%', '100.0%']",['Bodyweight']
dumbbell-half-burpee-walkout,"['back_calves', 'back_glutes', 'back_hamstrings', 'front_abs', 'front_chest', 'front_quads', 'front_shoulders']","['40.0%', '100.0%', '40.0%', '100.0%', '100.0%', '100.0%', '40.0%']",['Dumbbell']
cable-lumberjack,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '40.0%']",['Cables']
kettlebell-calf-raise,['back_calves'],['100.0%'],['Kettlebell']
half-kneeling-dumbbell-curl-to-press,"['back_hamstrings', 'front_biceps', 'front_shoulders']","['100.0%', '100.0%', '100.0%']",['Dumbbell']
skater-jump,"['back_glutes', 'back_hip_abductors', 'front_hip_abductors', 'front_quads']","['100.0%', '100.0%', '100.0%', '40.0%']",['Bodyweight']
machine-hamstring-curl,['back_hamstrings'],['100.0%'],['Machine']
dumbbell-one-arm-row,"['back_lats', 'front_biceps']","['100.0%', '40.0%']",['Dumbbell']
